# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^6,1000000.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^6,1000000.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^6,1000000.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^6,1000000.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^6,1000000.0,45,0.011362,0.022745,0.000479,0.009123,0.000817,0.008306,0,False,False
10^6,1000000.0,50,0.014496,0.028315,0.000353,0.014305,0.009591,0.006706,0,False,False
10^6,1000000.0,55,0.013929,0.030823,0.000784,0.017278,0.013077,0.005943,0,False,False
10^6,1000000.0,60,0.012316,0.031384,0.000761,0.020417,0.022295,0.00727,0,False,False
10^6,1000000.0,65,0.011042,0.032243,0.000681,0.023527,0.029284,0.009171,0,False,False
10^6,1000000.0,70,0.010087,0.033013,0.000712,0.026307,0.03558,0.011689,0,False,False
10^6,1000000.0,75,0.009618,0.033778,0.00066,0.029523,0.041635,0.013866,0,False,False
10^6,1000000.0,80,0.0095,0.034497,0.000647,0.032352,0.047249,0.016261,0,False,False
10^6,1000000.0,85,0.008356,0.025152,0.000665,0.030844,0.049919,0.019356,0,False,False
10^6,1000000.0,90,0.010534,0.019461,0.00068,0.02897,0.049666,0.020837,0,False,False
10^6,1000000.0,95,0.011967,0.016984,0.000702,0.027749,0.048751,0.02116,0,False,False
10^6,1000000.0,100,0.012621,0.015724,0.000381,0.025929,0.045397,0.019578,0,False,False
10^6,1000000.0,105,0.015644,0.061996,0.020441,0.053744,0.055696,0.017794,0,False,False
10^6,1000000.0,110,0.017085,0.0829,0.027069,0.066728,0.061233,0.016633,0,False,False
10^6,1000000.0,115,0.017745,0.09575,0.030932,0.073295,0.064018,0.016088,0,False,False
10^6,1000000.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^6,1000000.0,125,0.283884,0.504957,0.068568,0.283575,0.463846,0.701299,0,True,True
10^7,10000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^7,10000000.0,5,0.06835,0.085197,0.004142,0.016473,0.037666,0.054122,0,False,False
10^7,10000000.0,10,0.07547,0.104657,0.006323,0.029575,0.032982,0.060359,0,False,False
10^7,10000000.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^7,10000000.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^7,10000000.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^7,10000000.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^7,10000000.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^7,10000000.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^7,10000000.0,45,0.004178,0.023072,0.000496,0.016633,0.008976,0.007658,0,False,False
10^7,10000000.0,50,0.006567,0.030241,0.001722,0.024186,0.018682,0.006519,0,False,False
10^7,10000000.0,55,0.005432,0.034235,0.001646,0.029915,0.023944,0.006697,0,False,False
10^7,10000000.0,60,0.005745,0.034906,0.002024,0.033547,0.033252,0.007261,0,False,False
10^7,10000000.0,65,0.007213,0.036455,0.002164,0.038065,0.041073,0.008008,0,False,False
10^7,10000000.0,70,0.009182,0.038996,0.002467,0.043734,0.04833,0.008252,0,False,False
10^7,10000000.0,75,0.011481,0.041476,0.002792,0.049276,0.05522,0.008712,0,False,False
10^7,10000000.0,80,0.014033,0.04427,0.002941,0.055187,0.061692,0.008824,0,False,False
10^7,10000000.0,85,0.018249,0.03756,0.00288,0.05506,0.063439,0.009461,0,False,False
10^7,10000000.0,90,0.022825,0.034311,0.002763,0.056457,0.0641,0.00908,0,False,False
10^7,10000000.0,95,0.026079,0.034264,0.003169,0.059238,0.065194,0.007856,0,False,False
10^7,10000000.0,100,0.028861,0.035703,0.0038,0.062098,0.064811,0.003128,0,False,False
10^7,10000000.0,105,0.041381,0.113192,0.043987,0.106689,0.070068,0.040138,1,True,False
10^7,10000000.0,110,0.048322,0.150539,0.058633,0.125511,0.072723,0.053064,1,True,False
10^7,10000000.0,115,0.052507,0.175249,0.067287,0.133733,0.073439,0.060718,1,True,False
10^7,10000000.0,120,0.054848,0.190143,0.071696,0.133328,0.071162,0.064646,1,True,False
10^8 (Positive Control),100000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^8 (Positive Control),100000000.0,5,0.027981,0.04263,0.002005,0.014234,0.000607,0.013628,0,False,False
10^8 (Positive Control),100000000.0,10,0.03016,0.055683,0.003547,0.025623,0.013103,0.014248,0,False,False
10^8 (Positive Control),100000000.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^8 (Positive Control),100000000.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
