group,concentration_cfu_ml,time_min,R_mean,R_sd,R_N,G_mean,G_sd,G_N,B_mean,B_sd,B_N,RG_ratio_mean,RG_ratio_sd,RG_ratio_N,RB_ratio_mean,RB_ratio_sd,RB_ratio_N,GB_ratio_mean,GB_ratio_sd,GB_ratio_N
10^4,10000.0,5,190.495775,8.267925,4,187.492575,11.457738,4,243.905025,15.325412,4,1.0151,0.02821,4,0.902023,0.094592,4,0.888164,0.083073,4
10^4,10000.0,10,183.20915,11.246655,4,178.9629,13.984455,4,244.058525,15.43581,4,1.019462,0.02791,4,0.891171,0.100437,4,0.873532,0.087158,4
10^4,10000.0,15,159.9083,30.2852,4,129.3533,26.477044,4,233.8153,27.588931,4,1.056767,0.131835,4,0.968786,0.085289,4,0.936114,0.210108,4
10^4,10000.0,20,159.96745,30.014581,4,128.89625,26.391316,4,233.84305,27.521657,4,1.053776,0.135191,4,0.973104,0.087078,4,0.943951,0.216564,4
10^4,10000.0,25,159.95245,29.858037,4,128.959975,26.822393,4,233.787975,27.508273,4,1.050661,0.141764,4,0.977299,0.085886,4,0.952505,0.224271,4
10^4,10000.0,30,160.304025,30.191098,4,129.0099,27.245521,4,233.82935,27.44684,4,1.045974,0.146925,4,0.979438,0.087509,4,0.960566,0.23357,4
10^4,10000.0,35,160.5323,30.050511,4,128.89815,27.393387,4,233.9159,27.352802,4,1.042242,0.152261,4,0.982536,0.08812,4,0.968722,0.241934,4
10^4,10000.0,40,177.825075,9.943233,4,169.867475,11.015363,4,243.369125,16.856726,4,1.031386,0.034114,4,0.888066,0.108044,4,0.860653,0.096098,4
10^4,10000.0,45,174.190375,10.328146,4,164.15845,10.454289,4,243.4343,16.855112,4,1.040158,0.039818,4,0.888151,0.113521,4,0.854,0.106268,4
10^4,10000.0,50,171.0979,11.046103,4,159.401125,10.270952,4,243.327975,17.044028,4,1.04894,0.043926,4,0.893728,0.116828,4,0.852788,0.114932,4
10^4,10000.0,55,169.478875,11.423188,4,156.08475,9.752772,4,243.3133,17.167712,4,1.054393,0.048121,4,0.897818,0.123427,4,0.85299,0.127358,4
10^4,10000.0,60,166.8373,11.94434,4,152.2126,10.44581,4,243.075575,16.771493,4,1.059843,0.053008,4,0.894108,0.128121,4,0.846349,0.140685,4
10^4,10000.0,65,165.956675,12.521369,4,149.800375,10.526217,4,243.150625,17.090923,4,1.06397,0.058295,4,0.901471,0.133042,4,0.851075,0.152729,4
10^4,10000.0,70,165.494525,12.695093,4,148.389575,10.066803,4,243.211925,16.90929,4,1.064462,0.06256,4,0.905113,0.130144,4,0.855115,0.158066,4
10^4,10000.0,75,165.791075,13.238948,4,146.824575,10.328184,4,243.366025,16.91122,4,1.067191,0.06764,4,0.917227,0.128592,4,0.865219,0.163549,4
10^4,10000.0,80,165.514425,13.452603,4,145.817975,10.149417,4,243.433325,16.83107,4,1.066119,0.070867,4,0.924571,0.12783,4,0.873915,0.170128,4
10^4,10000.0,85,165.32385,13.79378,4,144.9189,10.350553,4,243.359,16.822416,4,1.065448,0.07413,4,0.931715,0.129115,4,0.882122,0.177823,4
